,state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,mergedBy,mergeCommit,comments,org,repo,openTimeDays
0,OPEN,MDExOlB1bGxSZXF1ZXN0MjM4NjY3OTU0,[perf] optimization_of_dropping_table,https://github.com/MariaDB/server/pull/1021,2018-12-14 10:02:38+00:00,2020-02-03T19:26:35Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},1021,FIRST_TIME_CONTRIBUTOR,guyuezql,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-14T10:11:07Z', 'updatedAt': '2018-12-14T10:11:07Z', 'url': 'https://github.com/MariaDB/server/pull/1021#issuecomment-447278787', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-14T11:38:23Z', 'updatedAt': '2018-12-14T11:38:23Z', 'url': 'https://github.com/MariaDB/server/pull/1021#issuecomment-447300053', 'author': {'login': 'guyuezql'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-17T09:13:41Z', 'updatedAt': '2018-12-17T09:13:41Z', 'url': 'https://github.com/MariaDB/server/pull/1021#issuecomment-447772829', 'author': {'login': 'dr-m'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-19T11:50:22Z', 'updatedAt': '2018-12-19T11:50:22Z', 'url': 'https://github.com/MariaDB/server/pull/1021#issuecomment-448567600', 'author': {'login': 'guyuezql'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-21T08:53:44Z', 'updatedAt': '2018-12-21T08:53:44Z', 'url': 'https://github.com/MariaDB/server/pull/1021#issuecomment-449316810', 'author': {'login': 'dr-m'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-24T19:26:22Z', 'updatedAt': '2018-12-24T19:26:22Z', 'url': 'https://github.com/MariaDB/server/pull/1021#issuecomment-449765490', 'author': {'login': 'mdcallag'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:03:56Z', 'updatedAt': '2020-02-03T19:26:35Z', 'url': 'https://github.com/MariaDB/server/pull/1021#issuecomment-581565899', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,16.58150462962963
1,OPEN,MDExOlB1bGxSZXF1ZXN0MjM1MTgyOTcw,Link against libatomic on platforms missing 64-bit atomics,https://github.com/MariaDB/server/pull/979,2018-12-01 09:39:23+00:00,2020-02-03T19:26:09Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},979,FIRST_TIME_CONTRIBUTOR,glaubitz,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-01T20:00:10Z', 'updatedAt': '2018-12-01T20:00:10Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-443454107', 'author': {'login': 'glaubitz'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-14T09:40:25Z', 'updatedAt': '2018-12-14T09:40:25Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-447270516', 'author': {'login': 'glaubitz'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-01-07T09:01:34Z', 'updatedAt': '2019-01-07T09:01:34Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-451865683', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-01-07T10:25:03Z', 'updatedAt': '2019-01-07T10:25:03Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-451889476', 'author': {'login': 'glaubitz'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-01-07T10:30:49Z', 'updatedAt': '2019-01-07T10:30:49Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-451891157', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-06-05T13:03:06Z', 'updatedAt': '2019-06-05T13:03:06Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-499073646', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-06-05T13:25:26Z', 'updatedAt': '2019-06-05T13:25:26Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-499081743', 'author': {'login': 'glaubitz'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-06-05T14:01:03Z', 'updatedAt': '2019-06-05T14:01:03Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-499095561', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-06-05T14:03:19Z', 'updatedAt': '2019-06-05T14:03:19Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-499096493', 'author': {'login': 'glaubitz'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-30T09:15:20Z', 'updatedAt': '2019-12-30T09:15:20Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-569622290', 'author': {'login': 'glaubitz'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:04:31Z', 'updatedAt': '2020-02-03T19:26:09Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-581566172', 'author': {'login': 'claassistantio'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:08:32Z', 'updatedAt': '2020-02-03T19:08:32Z', 'url': 'https://github.com/MariaDB/server/pull/979#issuecomment-581567857', 'author': {'login': 'glaubitz'}}}]}",MariaDB,server,29.597650462962964
2,OPEN,MDExOlB1bGxSZXF1ZXN0MjMyOTM3NjMw,MDEV-19436: Fix logrotate problem with twice configured pid-file option,https://github.com/MariaDB/server/pull/934,2018-11-22 10:57:51+00:00,2020-02-03T19:26:46Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},934,FIRST_TIME_CONTRIBUTOR,odenbach,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-22T11:12:26Z', 'updatedAt': '2018-11-22T11:12:26Z', 'url': 'https://github.com/MariaDB/server/pull/934#issuecomment-440997211', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-11-22T12:39:45Z', 'updatedAt': '2018-11-22T12:39:45Z', 'url': 'https://github.com/MariaDB/server/pull/934#issuecomment-441018544', 'author': {'login': 'odenbach'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-12T10:18:13Z', 'updatedAt': '2019-03-12T10:18:13Z', 'url': 'https://github.com/MariaDB/server/pull/934#issuecomment-471939931', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-04-01T23:43:59Z', 'updatedAt': '2019-04-01T23:43:59Z', 'url': 'https://github.com/MariaDB/server/pull/934#issuecomment-478787689', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-04-03T06:56:33Z', 'updatedAt': '2019-04-03T06:56:33Z', 'url': 'https://github.com/MariaDB/server/pull/934#issuecomment-479364236', 'author': {'login': 'odenbach'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-04-03T21:31:06Z', 'updatedAt': '2019-04-03T21:31:06Z', 'url': 'https://github.com/MariaDB/server/pull/934#issuecomment-479666540', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-05-10T13:34:42Z', 'updatedAt': '2019-05-10T13:34:42Z', 'url': 'https://github.com/MariaDB/server/pull/934#issuecomment-491290783', 'author': {'login': 'odenbach'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:04:16Z', 'updatedAt': '2020-02-03T19:26:46Z', 'url': 'https://github.com/MariaDB/server/pull/934#issuecomment-581566045', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,38.54315972222222
3,OPEN,MDExOlB1bGxSZXF1ZXN0MjI5NTgxOTI4,MDEV-19209: my_getncpus based on threads available,https://github.com/MariaDB/server/pull/922,2018-11-09 04:00:50+00:00,2020-02-17T23:48:24Z,,{'edges': [{'node': {'name': 'license-mca'}}]},922,CONTRIBUTOR,grooverdan,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-04-29T00:20:59Z', 'updatedAt': '2019-04-29T00:20:59Z', 'url': 'https://github.com/MariaDB/server/pull/922#issuecomment-487427799', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-11-06T23:02:45Z', 'updatedAt': '2019-11-06T23:02:45Z', 'url': 'https://github.com/MariaDB/server/pull/922#issuecomment-550540947', 'author': {'login': 'grooverdan'}}}]}",MariaDB,server,51.832754629629626
4,OPEN,MDExOlB1bGxSZXF1ZXN0MjI3NjkzMzQ5,MDEV-19208: Pkgconf fixes,https://github.com/MariaDB/server/pull/910,2018-11-01 17:17:09+00:00,2020-02-10T09:36:23Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},910,FIRST_TIME_CONTRIBUTOR,mathstuf,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2018-11-01T17:23:13Z', 'updatedAt': '2018-11-01T17:23:13Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-435117202', 'author': {'login': 'mathstuf'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-11-02T00:14:43Z', 'updatedAt': '2018-11-02T00:14:43Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-435229403', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-27T22:20:34Z', 'updatedAt': '2018-11-27T22:20:54Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-442239995', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-28T00:33:35Z', 'updatedAt': '2018-11-28T00:41:46Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-442272670', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-07T15:50:44Z', 'updatedAt': '2018-12-07T15:50:44Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-445274362', 'author': {'login': 'mathstuf'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-11T13:13:53Z', 'updatedAt': '2019-03-11T13:13:53Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-471532912', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-03-11T13:24:53Z', 'updatedAt': '2019-03-11T13:24:53Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-471536661', 'author': {'login': 'mathstuf'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-10-25T00:21:25Z', 'updatedAt': '2019-10-25T00:21:25Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-546151142', 'author': {'login': 'mathstuf'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:04:25Z', 'updatedAt': '2020-02-10T09:36:23Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-581566132', 'author': {'login': 'claassistantio'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-10T04:59:19Z', 'updatedAt': '2020-02-10T04:59:19Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-583955941', 'author': {'login': 'mathstuf'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-10T08:32:33Z', 'updatedAt': '2020-02-10T08:32:33Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-584010285', 'author': {'login': 'mathstuf'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-10T09:36:14Z', 'updatedAt': '2020-02-10T09:36:14Z', 'url': 'https://github.com/MariaDB/server/pull/910#issuecomment-584034211', 'author': {'login': 'mathstuf'}}}]}",MariaDB,server,59.27975694444444
5,OPEN,MDExOlB1bGxSZXF1ZXN0MjI2MjkyNTc5,MDEV-11790,https://github.com/MariaDB/server/pull/900,2018-10-27 12:56:51+00:00,2020-02-03T19:26:41Z,,{'edges': []},900,CONTRIBUTOR,Sp1l,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:04:55Z', 'updatedAt': '2020-02-03T19:26:40Z', 'url': 'https://github.com/MariaDB/server/pull/900#issuecomment-581566360', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,64.46052083333333
6,OPEN,MDExOlB1bGxSZXF1ZXN0MjE0OTI1NTk4,MDEV-17089 Updating a System Versioned Table always causes a row to b…,https://github.com/MariaDB/server/pull/864,2018-09-12 11:22:45+00:00,2020-02-03T19:26:23Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},864,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:05:40Z', 'updatedAt': '2020-02-03T19:26:23Z', 'url': 'https://github.com/MariaDB/server/pull/864#issuecomment-581566659', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,109.52586805555555
7,OPEN,MDExOlB1bGxSZXF1ZXN0MjExMTE5NDc1,MDEV-17076: Allow negative number for --max-save-* options for no saving,https://github.com/MariaDB/server/pull/854,2018-08-27 14:01:08+00:00,2020-02-03T19:26:01Z,,{'edges': []},854,MEMBER,shinnok,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-08-30T22:54:53Z', 'updatedAt': '2018-08-30T22:54:53Z', 'url': 'https://github.com/MariaDB/server/pull/854#issuecomment-417493404', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-08-31T15:31:30Z', 'updatedAt': '2018-08-31T15:31:30Z', 'url': 'https://github.com/MariaDB/server/pull/854#issuecomment-417701182', 'author': {'login': 'shinnok'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:04:34Z', 'updatedAt': '2020-02-03T19:26:01Z', 'url': 'https://github.com/MariaDB/server/pull/854#issuecomment-581566193', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,125.41587962962963
8,OPEN,MDExOlB1bGxSZXF1ZXN0MjA2MjM4NzY0,Fix server startup on NetBSD (and probably other systems),https://github.com/MariaDB/server/pull/838,2018-08-05 13:27:03+00:00,2020-02-03T19:25:55Z,,{'edges': []},838,FIRST_TIME_CONTRIBUTOR,manu0401,,,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-01-29T09:18:22Z', 'updatedAt': '2019-01-29T09:18:22Z', 'url': 'https://github.com/MariaDB/server/pull/838#issuecomment-458465332', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-01-29T12:47:37Z', 'updatedAt': '2019-01-29T12:47:37Z', 'url': 'https://github.com/MariaDB/server/pull/838#issuecomment-458527251', 'author': {'login': 'manu0401'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-01-29T14:59:00Z', 'updatedAt': '2019-01-29T14:59:00Z', 'url': 'https://github.com/MariaDB/server/pull/838#issuecomment-458571087', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:04:22Z', 'updatedAt': '2020-02-03T19:25:55Z', 'url': 'https://github.com/MariaDB/server/pull/838#issuecomment-581566098', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,147.43954861111112
9,OPEN,MDExOlB1bGxSZXF1ZXN0MjA0MTMwNjY1,MDEV-16825 SIGSEGV after SIGINT in bootstrap mode,https://github.com/MariaDB/server/pull/826,2018-07-26 12:47:07+00:00,2020-02-03T19:27:06Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},826,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-03-28T19:49:57Z', 'updatedAt': '2019-03-28T19:49:57Z', 'url': 'https://github.com/MariaDB/server/pull/826#issuecomment-477745780', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-28T20:09:50Z', 'updatedAt': '2019-03-28T20:09:50Z', 'url': 'https://github.com/MariaDB/server/pull/826#issuecomment-477752410', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-30T19:20:03Z', 'updatedAt': '2019-03-30T19:20:03Z', 'url': 'https://github.com/MariaDB/server/pull/826#issuecomment-478280483', 'author': {'login': 'midenok'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:04:49Z', 'updatedAt': '2020-02-03T19:27:06Z', 'url': 'https://github.com/MariaDB/server/pull/826#issuecomment-581566309', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,157.4672800925926
10,OPEN,MDExOlB1bGxSZXF1ZXN0MjAzODE4NDYw,MDEV-16023 Unfortunate error message WARN_VERS_PART_FULL (partition <…,https://github.com/MariaDB/server/pull/825,2018-07-25 12:19:22+00:00,2020-02-03T19:27:04Z,,{'edges': []},825,CONTRIBUTOR,FooBarrior,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:05:28Z', 'updatedAt': '2020-02-03T19:27:04Z', 'url': 'https://github.com/MariaDB/server/pull/825#issuecomment-581566579', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,158.48655092592594
11,OPEN,MDExOlB1bGxSZXF1ZXN0MjAyODMwNTM1,MDEV-15990: REPLACE on a precise-versioned table returns duplicate key error (ER_DUP_ENTRY),https://github.com/MariaDB/server/pull/820,2018-07-20 12:07:54+00:00,2020-02-03T19:27:02Z,,{'edges': []},820,CONTRIBUTOR,FooBarrior,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:05:34Z', 'updatedAt': '2020-02-03T19:27:02Z', 'url': 'https://github.com/MariaDB/server/pull/820#issuecomment-581566621', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,163.4945138888889
12,OPEN,MDExOlB1bGxSZXF1ZXN0MjAyNTM2ODMw,MDEV-16355 Add option for mysqldump to read data as of specific timestamp from system-versioned tables,https://github.com/MariaDB/server/pull/818,2018-07-19 12:03:05+00:00,2020-02-03T19:27:01Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},818,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:05:04Z', 'updatedAt': '2020-02-03T19:27:01Z', 'url': 'https://github.com/MariaDB/server/pull/818#issuecomment-581566415', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,164.4978587962963
13,OPEN,MDExOlB1bGxSZXF1ZXN0MjAxOTM2MzIz,MDEV-16029 mysqldump: dump and restore historical data,https://github.com/MariaDB/server/pull/815,2018-07-17 13:11:10+00:00,2020-02-03T19:27:17Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},815,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:05:25Z', 'updatedAt': '2020-02-03T19:27:17Z', 'url': 'https://github.com/MariaDB/server/pull/815#issuecomment-581566561', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,166.4505787037037
14,OPEN,MDExOlB1bGxSZXF1ZXN0MjAxMzc2NDQ5,MDEV-16684 Wrong timestamps on restore from mysqldump --compact,https://github.com/MariaDB/server/pull/813,2018-07-13 19:10:48+00:00,2020-02-03T19:26:52Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},813,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:05:22Z', 'updatedAt': '2020-02-03T19:26:52Z', 'url': 'https://github.com/MariaDB/server/pull/813#issuecomment-581566549', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,170.20083333333332
15,OPEN,MDExOlB1bGxSZXF1ZXN0MTk4MTg1Mjky,MDEV-16621 - Fix logrotate script,https://github.com/MariaDB/server/pull/807,2018-06-29 00:13:35+00:00,2020-02-06T00:51:43Z,,{'edges': []},807,CONTRIBUTOR,FaramosCZ,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-06-29T00:18:50Z', 'updatedAt': '2018-06-29T00:18:50Z', 'url': 'https://github.com/MariaDB/server/pull/807#issuecomment-401210784', 'author': {'login': 'FaramosCZ'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-06-29T07:40:40Z', 'updatedAt': '2018-06-29T07:40:40Z', 'url': 'https://github.com/MariaDB/server/pull/807#issuecomment-401274944', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-06-29T12:12:31Z', 'updatedAt': '2018-06-29T12:12:31Z', 'url': 'https://github.com/MariaDB/server/pull/807#issuecomment-401335924', 'author': {'login': 'FaramosCZ'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:03:46Z', 'updatedAt': '2020-02-06T00:51:43Z', 'url': 'https://github.com/MariaDB/server/pull/807#issuecomment-581565833', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,184.99056712962962
16,OPEN,MDExOlB1bGxSZXF1ZXN0MTk3Mzk3MjA1,MDEV-21238: Add CF_HA_CLOSE flag for SQL_RENAME_TABLE,https://github.com/MariaDB/server/pull/802,2018-06-26 11:58:36+00:00,2020-02-05T06:30:50Z,,{'edges': []},802,CONTRIBUTOR,an3l,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:04:52Z', 'updatedAt': '2020-02-05T06:30:49Z', 'url': 'https://github.com/MariaDB/server/pull/802#issuecomment-581566331', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,187.50097222222223
17,OPEN,MDExOlB1bGxSZXF1ZXN0MTk3MDI2ODAx," MDEV-16481, MDEV-16026: refactor Sys_var_vers_asof",https://github.com/MariaDB/server/pull/801,2018-06-25 07:42:44+00:00,2019-10-30T17:22:16Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},801,CONTRIBUTOR,FooBarrior,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-06-26T07:55:26Z', 'updatedAt': '2018-06-26T07:55:26Z', 'url': 'https://github.com/MariaDB/server/pull/801#issuecomment-400215664', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-06-27T17:13:38Z', 'updatedAt': '2018-06-27T17:13:38Z', 'url': 'https://github.com/MariaDB/server/pull/801#issuecomment-400761346', 'author': {'login': 'FooBarrior'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-09-04T19:45:36Z', 'updatedAt': '2018-09-04T19:45:36Z', 'url': 'https://github.com/MariaDB/server/pull/801#issuecomment-418494360', 'author': {'login': 'FooBarrior'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-09-06T19:22:28Z', 'updatedAt': '2018-09-06T19:22:28Z', 'url': 'https://github.com/MariaDB/server/pull/801#issuecomment-419211812', 'author': {'login': 'FooBarrior'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-03-27T17:47:47Z', 'updatedAt': '2019-03-27T17:47:47Z', 'url': 'https://github.com/MariaDB/server/pull/801#issuecomment-477276758', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-07-18T11:01:45Z', 'updatedAt': '2019-07-22T10:24:31Z', 'url': 'https://github.com/MariaDB/server/pull/801#issuecomment-512769771', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-07-22T10:05:42Z', 'updatedAt': '2019-10-30T17:22:16Z', 'url': 'https://github.com/MariaDB/server/pull/801#issuecomment-513728499', 'author': {'login': 'FooBarrior'}}}]}",MariaDB,server,188.6786574074074
18,OPEN,MDExOlB1bGxSZXF1ZXN0MTk2OTM4MDc3,MDEV-16587 - Vers: SQL sysvers_show SELECT fix,https://github.com/MariaDB/server/pull/799,2018-06-24 08:04:32+00:00,2020-02-03T19:26:13Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},799,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-06-26T07:55:56Z', 'updatedAt': '2018-06-26T07:55:56Z', 'url': 'https://github.com/MariaDB/server/pull/799#issuecomment-400215809', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-06-26T08:09:24Z', 'updatedAt': '2018-06-26T08:11:53Z', 'url': 'https://github.com/MariaDB/server/pull/799#issuecomment-400219551', 'author': {'login': 'midenok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-06-26T08:24:26Z', 'updatedAt': '2018-06-26T08:24:26Z', 'url': 'https://github.com/MariaDB/server/pull/799#issuecomment-400223877', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:05:16Z', 'updatedAt': '2020-02-03T19:26:12Z', 'url': 'https://github.com/MariaDB/server/pull/799#issuecomment-581566510', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,189.66351851851852
19,OPEN,MDExOlB1bGxSZXF1ZXN0MTk2OTA3MDA0,MDEV-16553 Vers SQL: Refactoring in system fields init,https://github.com/MariaDB/server/pull/798,2018-06-23 15:21:14+00:00,2020-02-03T19:26:47Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},798,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:05:37Z', 'updatedAt': '2020-02-03T19:26:47Z', 'url': 'https://github.com/MariaDB/server/pull/798#issuecomment-581566641', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,190.36025462962962
20,OPEN,MDExOlB1bGxSZXF1ZXN0MTk2NTUyMTAx,MDEV-16253 Drop temporary table and base table with the same name,https://github.com/MariaDB/server/pull/796,2018-06-21 19:26:16+00:00,2020-02-03T19:26:56Z,,{'edges': []},796,CONTRIBUTOR,an3l,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:05:19Z', 'updatedAt': '2020-02-03T19:26:56Z', 'url': 'https://github.com/MariaDB/server/pull/796#issuecomment-581566532', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,192.1900925925926
