,state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,mergedBy,mergeCommit,deletions,additions,changedFiles,comments,org,repo
0,OPEN,MDExOlB1bGxSZXF1ZXN0NTQ2NDA2NDQ4,Apple Silicon is a 64-bit platform,https://github.com/MariaDB/server/pull/1730,2020-12-29T09:33:37Z,2021-01-22T15:18:29Z,,{'edges': []},1730,FIRST_TIME_CONTRIBUTOR,fxcoudert,,,1,1,1,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-12-29T09:33:42Z', 'updatedAt': '2020-12-29T09:34:19Z', 'url': 'https://github.com/MariaDB/server/pull/1730#issuecomment-752011709', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2021-01-22T15:16:06Z', 'updatedAt': '2021-01-22T15:16:06Z', 'url': 'https://github.com/MariaDB/server/pull/1730#issuecomment-765475423', 'author': {'login': 'lonnylot'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2021-01-22T15:18:29Z', 'updatedAt': '2021-01-22T15:18:29Z', 'url': 'https://github.com/MariaDB/server/pull/1730#issuecomment-765477344', 'author': {'login': 'lonnylot'}}}]}",MariaDB,server
1,OPEN,MDExOlB1bGxSZXF1ZXN0NTQ1ODA0MDEz,Misc Debian packaging fixes,https://github.com/MariaDB/server/pull/1729,2020-12-27T12:52:00Z,2021-01-25T21:13:28Z,,{'edges': []},1729,CONTRIBUTOR,ottok,,,35,120,2,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-27T18:18:12Z', 'updatedAt': '2020-12-27T18:18:12Z', 'url': 'https://github.com/MariaDB/server/pull/1729#issuecomment-751499902', 'author': {'login': 'ottok'}}}]}",MariaDB,server
2,OPEN,MDExOlB1bGxSZXF1ZXN0NTQ1NzIxMDU4,Extend and update debconf translations,https://github.com/MariaDB/server/pull/1728,2020-12-26T18:12:13Z,2021-01-25T21:19:22Z,,{'edges': []},1728,CONTRIBUTOR,ottok,,,1877,517,23,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-12-26T18:12:21Z', 'updatedAt': '2020-12-26T18:17:45Z', 'url': 'https://github.com/MariaDB/server/pull/1728#issuecomment-751381897', 'author': {'login': 'CLAassistant'}}}]}",MariaDB,server
3,CLOSED,MDExOlB1bGxSZXF1ZXN0NTQ0MTkwODM1,mysys: detects crc/crypto support on FreeBSD/arm.,https://github.com/MariaDB/server/pull/1727,2020-12-22T15:23:44Z,2021-01-10T23:55:57Z,2021-01-10T23:55:57Z,{'edges': [{'node': {'name': 'license-mca'}}]},1727,CONTRIBUTOR,devnexen,,,2,16,1,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2021-01-10T22:46:32Z', 'updatedAt': '2021-01-10T22:46:32Z', 'url': 'https://github.com/MariaDB/server/pull/1727#issuecomment-757557474', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2021-01-10T23:55:57Z', 'updatedAt': '2021-01-10T23:55:57Z', 'url': 'https://github.com/MariaDB/server/pull/1727#issuecomment-757566572', 'author': {'login': 'devnexen'}}}]}",MariaDB,server
4,MERGED,MDExOlB1bGxSZXF1ZXN0NTQ0MDk1NTQ5,Fix commit 113f18686d0 and d1809097966: PLUGIN_COLUMNSTORE=NO by default,https://github.com/MariaDB/server/pull/1726,2020-12-22T12:35:13Z,2020-12-26T12:03:35Z,2020-12-23T21:25:03Z,{'edges': []},1726,CONTRIBUTOR,ottok,{'login': 'ottok'},{'oid': '7a60bc22fc1d8767cb1041e54d62e2f3a904f26e'},12,7,2,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-22T16:10:33Z', 'updatedAt': '2020-12-22T16:10:33Z', 'url': 'https://github.com/MariaDB/server/pull/1726#issuecomment-749624293', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-22T21:11:51Z', 'updatedAt': '2020-12-22T21:11:51Z', 'url': 'https://github.com/MariaDB/server/pull/1726#issuecomment-749778274', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-23T11:41:04Z', 'updatedAt': '2020-12-23T11:41:04Z', 'url': 'https://github.com/MariaDB/server/pull/1726#issuecomment-750195614', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-25T07:46:24Z', 'updatedAt': '2020-12-25T07:46:24Z', 'url': 'https://github.com/MariaDB/server/pull/1726#issuecomment-751200062', 'author': {'login': 'drrtuy'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-25T09:10:03Z', 'updatedAt': '2020-12-25T09:10:03Z', 'url': 'https://github.com/MariaDB/server/pull/1726#issuecomment-751215712', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-25T09:18:53Z', 'updatedAt': '2020-12-25T09:18:53Z', 'url': 'https://github.com/MariaDB/server/pull/1726#issuecomment-751217469', 'author': {'login': 'drrtuy'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-25T09:29:53Z', 'updatedAt': '2020-12-25T09:29:53Z', 'url': 'https://github.com/MariaDB/server/pull/1726#issuecomment-751219533', 'author': {'login': 'drrtuy'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-25T15:24:40Z', 'updatedAt': '2020-12-25T15:32:41Z', 'url': 'https://github.com/MariaDB/server/pull/1726#issuecomment-751262873', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-25T21:21:36Z', 'updatedAt': '2020-12-25T21:21:36Z', 'url': 'https://github.com/MariaDB/server/pull/1726#issuecomment-751291911', 'author': {'login': 'drrtuy'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-25T21:24:50Z', 'updatedAt': '2020-12-25T21:24:50Z', 'url': 'https://github.com/MariaDB/server/pull/1726#issuecomment-751292146', 'author': {'login': 'drrtuy'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-26T12:03:34Z', 'updatedAt': '2020-12-26T12:03:34Z', 'url': 'https://github.com/MariaDB/server/pull/1726#issuecomment-751349428', 'author': {'login': 'ottok'}}}]}",MariaDB,server
5,CLOSED,MDExOlB1bGxSZXF1ZXN0NTQzOTY5NTgy,"MENT-1047 Assertion `active() == false' failed with ""XA START..""",https://github.com/MariaDB/server/pull/1725,2020-12-22T08:48:58Z,2020-12-22T10:08:03Z,2020-12-22T10:08:03Z,{'edges': []},1725,CONTRIBUTOR,sciascid,,,0,19,3,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-12-22T08:49:03Z', 'updatedAt': '2020-12-22T08:49:03Z', 'url': 'https://github.com/MariaDB/server/pull/1725#issuecomment-749424976', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-22T10:08:03Z', 'updatedAt': '2020-12-22T10:08:03Z', 'url': 'https://github.com/MariaDB/server/pull/1725#issuecomment-749461287', 'author': {'login': 'janlindstrom'}}}]}",MariaDB,server
6,OPEN,MDExOlB1bGxSZXF1ZXN0NTQzNDk5NjE4,MDEV-23851 BF-BF Conflict issue because of UK GAP locks,https://github.com/MariaDB/server/pull/1724,2020-12-21T13:57:42Z,2021-01-05T07:31:04Z,,{'edges': []},1724,CONTRIBUTOR,sjaakola,,,0,466,8,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2021-01-05T07:31:04Z', 'updatedAt': '2021-01-05T07:31:04Z', 'url': 'https://github.com/MariaDB/server/pull/1724#issuecomment-754459111', 'author': {'login': 'dr-m'}}}]}",MariaDB,server
7,CLOSED,MDExOlB1bGxSZXF1ZXN0NTQzNDk2NDQz,MDEV-23851 MDEV-24229 BF-BF conflict issues,https://github.com/MariaDB/server/pull/1723,2020-12-21T13:51:18Z,2020-12-28T07:27:38Z,2020-12-28T07:27:38Z,{'edges': []},1723,CONTRIBUTOR,sjaakola,,,5,28,2,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-28T07:27:38Z', 'updatedAt': '2020-12-28T07:27:38Z', 'url': 'https://github.com/MariaDB/server/pull/1723#issuecomment-751613366', 'author': {'login': 'janlindstrom'}}}]}",MariaDB,server
8,OPEN,MDExOlB1bGxSZXF1ZXN0NTQzMTM2OTcy,Deb: Use build flag to enforce default charset as utf8mb4,https://github.com/MariaDB/server/pull/1722,2020-12-20T21:49:07Z,2020-12-26T09:49:50Z,,{'edges': []},1722,CONTRIBUTOR,ottok,,,0,35,2,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T11:49:40Z', 'updatedAt': '2020-12-21T11:49:40Z', 'url': 'https://github.com/MariaDB/server/pull/1722#issuecomment-748933871', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-26T09:49:50Z', 'updatedAt': '2020-12-26T09:49:50Z', 'url': 'https://github.com/MariaDB/server/pull/1722#issuecomment-751339733', 'author': {'login': 'ottok'}}}]}",MariaDB,server
9,MERGED,MDExOlB1bGxSZXF1ZXN0NTQzMTM2NTU0,Salsa-CI: Copy most of Salsa-CI from Debian 10.5,https://github.com/MariaDB/server/pull/1721,2020-12-20T21:45:09Z,2020-12-21T18:30:03Z,2020-12-21T18:30:03Z,{'edges': []},1721,CONTRIBUTOR,ottok,{'login': 'ottok'},{'oid': 'ecb1b8721ba645ccb839fc1b7605483b794be4e1'},473,510,7,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T11:49:08Z', 'updatedAt': '2020-12-21T11:49:08Z', 'url': 'https://github.com/MariaDB/server/pull/1721#issuecomment-748933683', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T16:51:04Z', 'updatedAt': '2020-12-21T16:51:04Z', 'url': 'https://github.com/MariaDB/server/pull/1721#issuecomment-749075094', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T17:06:55Z', 'updatedAt': '2020-12-21T17:06:55Z', 'url': 'https://github.com/MariaDB/server/pull/1721#issuecomment-749088264', 'author': {'login': 'ottok'}}}]}",MariaDB,server
10,MERGED,MDExOlB1bGxSZXF1ZXN0NTQzMTM2MTQ5,Sync much of the packaging improvements done in Debian.org to upstream MariaDB.org,https://github.com/MariaDB/server/pull/1720,2020-12-20T21:41:40Z,2021-01-10T22:56:56Z,2021-01-04T15:29:23Z,{'edges': []},1720,CONTRIBUTOR,ottok,{'login': 'ottok'},{'oid': '20727387432d74b135b71e74b0e6d023e079be67'},73,226,14,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T08:21:23Z', 'updatedAt': '2020-12-21T08:21:23Z', 'url': 'https://github.com/MariaDB/server/pull/1720#issuecomment-748838941', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T08:22:18Z', 'updatedAt': '2020-12-21T08:22:18Z', 'url': 'https://github.com/MariaDB/server/pull/1720#issuecomment-748839362', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-22T08:28:34Z', 'updatedAt': '2020-12-22T08:28:34Z', 'url': 'https://github.com/MariaDB/server/pull/1720#issuecomment-749416076', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-27T12:52:37Z', 'updatedAt': '2020-12-27T12:52:37Z', 'url': 'https://github.com/MariaDB/server/pull/1720#issuecomment-751464313', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-30T15:30:15Z', 'updatedAt': '2020-12-30T15:30:15Z', 'url': 'https://github.com/MariaDB/server/pull/1720#issuecomment-752662452', 'author': {'login': 'ottok'}}}]}",MariaDB,server
11,OPEN,MDExOlB1bGxSZXF1ZXN0NTQzMTEyOTcw,Fix various spelling errors still found in code,https://github.com/MariaDB/server/pull/1719,2020-12-20T19:09:30Z,2020-12-20T19:19:48Z,,{'edges': []},1719,CONTRIBUTOR,ottok,,,92,91,60,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-20T19:19:48Z', 'updatedAt': '2020-12-20T19:19:48Z', 'url': 'https://github.com/MariaDB/server/pull/1719#issuecomment-748649064', 'author': {'login': 'ottok'}}}]}",MariaDB,server
12,CLOSED,MDExOlB1bGxSZXF1ZXN0NTQzMTExOTMy,Use correct shebang path for Perl,https://github.com/MariaDB/server/pull/1718,2020-12-20T19:01:17Z,2020-12-21T12:18:59Z,2020-12-21T08:17:17Z,{'edges': []},1718,CONTRIBUTOR,ottok,,,11,11,11,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-21T08:17:17Z', 'updatedAt': '2020-12-21T08:17:17Z', 'url': 'https://github.com/MariaDB/server/pull/1718#issuecomment-748836873', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T12:18:58Z', 'updatedAt': '2020-12-21T12:18:58Z', 'url': 'https://github.com/MariaDB/server/pull/1718#issuecomment-748945479', 'author': {'login': 'ottok'}}}]}",MariaDB,server
13,OPEN,MDExOlB1bGxSZXF1ZXN0NTQzMTExNTA3,MDEV-23892: Fix riscv64 build failure by linking correctly with pthread,https://github.com/MariaDB/server/pull/1717,2020-12-20T18:57:43Z,2021-01-10T22:34:13Z,,{'edges': []},1717,CONTRIBUTOR,ottok,,,0,1,1,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T06:23:00Z', 'updatedAt': '2020-12-21T06:23:00Z', 'url': 'https://github.com/MariaDB/server/pull/1717#issuecomment-748786599', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T06:36:04Z', 'updatedAt': '2020-12-21T06:36:04Z', 'url': 'https://github.com/MariaDB/server/pull/1717#issuecomment-748791918', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-26T10:11:49Z', 'updatedAt': '2020-12-26T10:11:49Z', 'url': 'https://github.com/MariaDB/server/pull/1717#issuecomment-751341234', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2021-01-10T22:33:58Z', 'updatedAt': '2021-01-10T22:33:58Z', 'url': 'https://github.com/MariaDB/server/pull/1717#issuecomment-757555830', 'author': {'login': 'grooverdan'}}}]}",MariaDB,server
14,OPEN,MDExOlB1bGxSZXF1ZXN0NTQzMTEwMTE5,MDEV-23892: Misc fixes to MIPS build and run compatibility,https://github.com/MariaDB/server/pull/1716,2020-12-20T18:46:24Z,2021-01-10T22:32:02Z,,{'edges': []},1716,CONTRIBUTOR,ottok,,,43,90,9,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-26T10:09:09Z', 'updatedAt': '2020-12-26T10:09:09Z', 'url': 'https://github.com/MariaDB/server/pull/1716#issuecomment-751341054', 'author': {'login': 'ottok'}}}]}",MariaDB,server
15,OPEN,MDExOlB1bGxSZXF1ZXN0NTQyMDY3Nzk5,Update errmsg-utf8.txt,https://github.com/MariaDB/server/pull/1715,2020-12-17T19:09:24Z,2021-01-08T09:26:25Z,,{'edges': []},1715,FIRST_TIME_CONTRIBUTOR,jesusaplsoftware,,,245,1150,1,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2021-01-04T10:37:10Z', 'updatedAt': '2021-01-04T10:37:10Z', 'url': 'https://github.com/MariaDB/server/pull/1715#issuecomment-753897762', 'author': {'login': 'iangilfillan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2021-01-05T11:33:08Z', 'updatedAt': '2021-01-08T09:25:25Z', 'url': 'https://github.com/MariaDB/server/pull/1715#issuecomment-754581464', 'author': {'login': 'fauust'}}}]}",MariaDB,server
16,MERGED,MDExOlB1bGxSZXF1ZXN0NTM1MTIzMjY5,MDEV-24031: remove maria_ft_boolean_check_syntax_string(),https://github.com/MariaDB/server/pull/1714,2020-12-09T11:50:00Z,2020-12-23T11:13:10Z,2020-12-23T11:11:44Z,{'edges': []},1714,CONTRIBUTOR,xzhangxian1008,{'login': 'robertbindar'},{'oid': 'f02c8ffa340cf8b1cb6e7530dbaa95a64effca87'},21,0,1,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-12-09T11:50:07Z', 'updatedAt': '2020-12-16T01:37:11Z', 'url': 'https://github.com/MariaDB/server/pull/1714#issuecomment-741722077', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-10T18:47:11Z', 'updatedAt': '2020-12-10T18:47:11Z', 'url': 'https://github.com/MariaDB/server/pull/1714#issuecomment-742719576', 'author': {'login': 'robertbindar'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-15T12:14:15Z', 'updatedAt': '2020-12-15T12:14:15Z', 'url': 'https://github.com/MariaDB/server/pull/1714#issuecomment-745250676', 'author': {'login': 'xzhangxian1008'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-15T12:51:13Z', 'updatedAt': '2020-12-15T12:51:13Z', 'url': 'https://github.com/MariaDB/server/pull/1714#issuecomment-745267895', 'author': {'login': 'robertbindar'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-15T12:52:41Z', 'updatedAt': '2020-12-15T12:52:41Z', 'url': 'https://github.com/MariaDB/server/pull/1714#issuecomment-745268535', 'author': {'login': 'robertbindar'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-16T01:58:29Z', 'updatedAt': '2020-12-16T01:58:29Z', 'url': 'https://github.com/MariaDB/server/pull/1714#issuecomment-745713090', 'author': {'login': 'xzhangxian1008'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-16T03:36:08Z', 'updatedAt': '2020-12-16T03:36:08Z', 'url': 'https://github.com/MariaDB/server/pull/1714#issuecomment-745742543', 'author': {'login': 'xzhangxian1008'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-16T12:17:05Z', 'updatedAt': '2020-12-16T12:17:05Z', 'url': 'https://github.com/MariaDB/server/pull/1714#issuecomment-746202524', 'author': {'login': 'robertbindar'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-22T14:21:31Z', 'updatedAt': '2020-12-22T14:21:31Z', 'url': 'https://github.com/MariaDB/server/pull/1714#issuecomment-749563134', 'author': {'login': 'robertbindar'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-23T05:57:17Z', 'updatedAt': '2020-12-23T05:57:17Z', 'url': 'https://github.com/MariaDB/server/pull/1714#issuecomment-749952459', 'author': {'login': 'xzhangxian1008'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-23T11:13:10Z', 'updatedAt': '2020-12-23T11:13:10Z', 'url': 'https://github.com/MariaDB/server/pull/1714#issuecomment-750159618', 'author': {'login': 'robertbindar'}}}]}",MariaDB,server
17,CLOSED,MDExOlB1bGxSZXF1ZXN0NTM0NDEzODA4,MDEV-24327 wsrep XID checkpointing order with log_slave_updates=OFF,https://github.com/MariaDB/server/pull/1713,2020-12-08T12:21:41Z,2020-12-17T10:48:59Z,2020-12-17T10:48:59Z,{'edges': []},1713,CONTRIBUTOR,sjaakola,,,10,154,5,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-17T10:45:27Z', 'updatedAt': '2020-12-17T10:45:27Z', 'url': 'https://github.com/MariaDB/server/pull/1713#issuecomment-747361631', 'author': {'login': 'janlindstrom'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-17T10:48:59Z', 'updatedAt': '2020-12-17T10:48:59Z', 'url': 'https://github.com/MariaDB/server/pull/1713#issuecomment-747363346', 'author': {'login': 'janlindstrom'}}}]}",MariaDB,server
18,MERGED,MDExOlB1bGxSZXF1ZXN0NTM0MzUzMzcw,MDEV-24292  support semi-independent versioning for sub-packages,https://github.com/MariaDB/server/pull/1712,2020-12-08T10:32:50Z,2021-01-13T09:20:06Z,2021-01-13T09:20:06Z,{'edges': []},1712,MEMBER,vuvova,{'login': 'vuvova'},{'oid': '2c845e0bd68a310a1ebbd63a635200416a9bfbe0'},28,60,10,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-12-08T10:32:57Z', 'updatedAt': '2020-12-08T10:32:57Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-740535498', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-08T10:35:28Z', 'updatedAt': '2020-12-08T10:36:39Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-740536744', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-08T13:58:30Z', 'updatedAt': '2020-12-08T13:58:30Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-740635214', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-09T07:44:53Z', 'updatedAt': '2020-12-09T07:44:53Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-741596387', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-09T09:41:20Z', 'updatedAt': '2020-12-09T09:41:20Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-741655739', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-09T15:18:51Z', 'updatedAt': '2020-12-09T15:18:51Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-741838879', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-13T20:50:38Z', 'updatedAt': '2020-12-13T20:50:38Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-744066541', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-18T18:49:28Z', 'updatedAt': '2020-12-18T18:50:26Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-748255661', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-18T20:15:35Z', 'updatedAt': '2020-12-18T20:15:35Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-748298277', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-26T18:01:21Z', 'updatedAt': '2020-12-26T18:01:21Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751380573', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-26T21:49:51Z', 'updatedAt': '2020-12-26T21:49:51Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751399510', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-27T12:46:13Z', 'updatedAt': '2020-12-27T12:46:13Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751463702', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-27T16:18:16Z', 'updatedAt': '2020-12-27T16:18:16Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751486588', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-27T18:24:40Z', 'updatedAt': '2020-12-27T18:24:40Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751500591', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-27T19:29:32Z', 'updatedAt': '2020-12-27T19:29:32Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751506977', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-27T21:19:41Z', 'updatedAt': '2020-12-27T21:19:41Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751517333', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-27T21:23:27Z', 'updatedAt': '2020-12-27T21:23:27Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751517653', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-28T00:38:47Z', 'updatedAt': '2020-12-28T00:38:47Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751535915', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-28T10:32:42Z', 'updatedAt': '2020-12-28T10:32:42Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751666433', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-28T11:19:30Z', 'updatedAt': '2020-12-28T11:19:30Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751679096', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-28T11:50:08Z', 'updatedAt': '2020-12-28T11:50:08Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751686460', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-28T13:17:45Z', 'updatedAt': '2020-12-28T13:17:45Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751709497', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-28T14:55:53Z', 'updatedAt': '2020-12-28T14:55:53Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-751738150', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-29T20:49:24Z', 'updatedAt': '2020-12-29T20:49:24Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-752236660', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-30T07:50:19Z', 'updatedAt': '2020-12-30T07:50:19Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-752363871', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-12-30T09:09:43Z', 'updatedAt': '2020-12-30T09:09:43Z', 'url': 'https://github.com/MariaDB/server/pull/1712#issuecomment-752384097', 'author': {'login': 'vuvova'}}}]}",MariaDB,server
